,survey,random_order,reason,translation,roy_categorized
2125,ecv2020,2125,D�couragement � cause de la marginalisation des corps soignants,Discouragement due to the marginalization of healthcare workers,NA
2126,ecv2020,2126,DEPLACEMENT A CAUSE DE DEUIL,TRAVEL DUE TO BEREAVEMENT,NA
2127,ecv2020,2127,La maman avait voyag� en raison du deuil de sa maman qui �tait d�c�d�e.,The mother had traveled due to the mourning of her own mother who had passed away.,NA
2128,ecv2022,2128,MAUVAISE QUALITE DE MEDICAMENT,POOR QUALITY OF MEDICATION,NA
2129,ecv2020,2129,CONTRE VACCIN COVID,AGAINST COVID VACCINE,NA
2130,ecv2020,2130,Ma belle m�re m'avait fortement interdit d'amener l'enfant � la vaccination,My mother-in-law had strongly forbidden me to take the child to the vaccination.,NA
2131,ecv2020,2131,OUBLIE LA DATE DU RENDEZ-VOUS,FORGET THE DATE OF THE APPOINTMENT,NA
2132,ecv2020,2132,PAS ENCORE ATTEINT L AGE,NOT YET REACHED THE AGE,NA
2133,ecv2021,2133,SA MERE FOLLE,HIS CRAZY MOTHER,NA
2134,ecv2021,2134,JETAIS PARTI AU VILLAGE POUR UN DEUIL FAMILIAL PENDANT LONGTEMPS,I HAD LEFT FOR THE VILLAGE FOR A FAMILY MOURNING FOR A LONG TIME,NA
2135,ecv2020,2135,"INDISPONIBILIT� DE LA MAMAN, TOUJOURS AU CHAMP","MOTHER'S UNAVAILABILITY, STILL IN THE FIELD",NA
2136,ecv2020,2136,PARCEQUE J'AVAIS PERDU MON ENFANT APR�S LA VACCINATION,BECAUSE I HAD LOST MY CHILD AFTER THE VACCINATION,NA
2137,ecv2020,2137,Je n'�tait suis pas disponible.,I was not available.,NA
2138,ecv2020,2138,L'enfant a re�u tous les vaccins mais le vaccinateur n'a pas marque sur la fiche Cps,"The child received all the vaccines, but the vaccinator did not mark it on the Cps card.",NA
2139,ecv2020,2139,NEGLIGENCE ET FATIGUE,Negligence and Fatigue,NA
2140,ecv2020,2140,ENFANT PREMATURE,Premature baby,NA
2141,ecv2020,2141,MERE EN D�PLACEMENT,MOTHER ON THE MOVE,NA
2142,ecv2021,2142,PEUR DE COVID,FEAR OF COVID,NA
2143,ecv2020,2143,Depuis que suis �prouv� je ne suis pas encore all� � la vaccination,"Since I felt unwell, I haven't gone for the vaccination yet.",NA
2144,ecv2020,2144,VACCI N EN COURS,VACCINATION IN PROGRESS,NA
2145,ecv2020,2145,Probl�mes de chaine de froid qui n'�tait'pas op�rationnel a ce temps la,Problems with the cold chain that were not operational at that time.,NA
2146,ecv2021,2146,MORT DU GRAND PÈRE,DEATH OF THE GRANDFATHER,NA
2147,ecv2020,2147,L enfant n a pas totalise 9mois,The child did not complete 9 months,NA
2148,ecv2020,2148,PERDU,LOST,NA
2149,ecv2020,2149,MERE EPPROUVEE,MOTHER TESTED,NA
2150,ecv2020,2150,MANQUE DE VOLONT�,Lack of will,NA
2151,ecv2020,2151,LA MERE GARDIENNE NE MAITRISE PAS TOUS CES ELEMENTS,THE MOTHER GUARDIAN DOES NOT MASTER ALL THESE ELEMENTS,NA
2152,ecv2022,2152,"REFUS DES PRESTATAIRES D'OUVRIR,,LE VACCIN POUR UNE PERSONNE",REFUSAL OF SERVICE PROVIDERS TO OPEN THE VACCINE FOR ONE PERSON,NA
2153,ecv2020,2153,RESTE VACCIN POUR NEUF MOIS,Vaccine remains effective for nine months,NA
2154,ecv2020,2154,La m�re de l'enfant �tait en voyage au jour du rendez vous,The child's mother was traveling on the day of the appointment.,NA
2155,ecv2021,2155,MANQUEMENT DU BCG ET VAR,FAILURE OF BCG AND VAR,NA
2156,ecv2021,2156,VOYAGE AU CENTRE AFRIQUE,TRIP TO CENTRAL AFRICA,NA
2157,ecv2022,2157,VOYAGE MERE GARDIENNE,JOURNEY MOTHER CARETAKER,NA
2158,ecv2021,2158,MÊME  RAISON,SAME  REASON,NA
2159,ecv2022,2159,MERE ET ENFANT EN DÉPLACEMENT,MOTHER AND CHILD ON THE MOVE,NA
2160,ecv2022,2160,FAMILLE EN DEPLACEMENT,Family on the move,NA
2161,ecv2022,2161,VIENS DE LA FERME EN ANGOLA,COME FROM THE FARM IN ANGOLA,NA
2162,ecv2021,2162,J’ÉTAIT AILLEURS,I WAS ELSEWHERE,NA
2163,ecv2020,2163,Absence lors de la vaccination,Absence during the vaccination,NA
2164,ecv2022,2164,DÉPLACEMENT DE LA FAMILLE AU CARRIÈRES MINIÈRES LOIN DE CENTRE DE SANTE,FAMILY MOVEMENT TO MINING AREAS FAR FROM HEALTH CENTER,NA
2165,ecv2020,2165,LA MERE ETAIT EN DEPLACEMENT,THE MOTHER WAS TRAVELING,NA
2166,ecv2020,2166,MANQUE D'INFORMATIONS PR�CISES,LACK OF SPECIFIC INFORMATION,NA
2167,ecv2021,2167,CS DE SANTÉ FERMÉ,HEALTH CENTER CLOSED,NA
2168,ecv2021,2168,A TOUT RECU,RECEIVED EVERYTHING,NA
2169,ecv2020,2169,Non inform�,Not informed,NA
2170,ecv2020,2170,Souvent les vaccinations sont organis�es quand j'�tais au campement agricole.,Vaccinations were often organized when I was at the agricultural camp.,NA
2171,ecv2021,2171,EFFETS SECONDAIRE,Side Effects,NA
2172,ecv2020,2172,DEPLACEMENT DE SA MAMAN,MOVEMENT OF HIS/HER MOTHER,NA
2173,ecv2020,2173,HABITAIT LES ILOTS ET CALENDRIER VACCINALE EN COURS,LIVED ON THE ISLETS AND CURRENT VACCINATION SCHEDULE,NA
2174,ecv2022,2174,LA MERE EST TROP OCCUPEÉ PAR DES TRAVAUX CHAMPETRES ET ELLE PART AVEC L'ENFANT,THE MOTHER IS TOO BUSY WITH FIELD WORK AND SHE LEAVES WITH THE CHILD,NA
2175,ecv2020,2175,DEPLACEMENT DAN'S LE CHAMP,MOVEMENT IN THE FIELD,NA
2176,ecv2021,2176,DEPLACE  DE GEURRE D'UMA,DISPLACED BY WAR,NA
2177,ecv2020,2177,BUSAMBI n'a pas encore compl�ter 9 mois pour obtenir le VAR et VAA,BUSAMBI has not yet completed 9 months to obtain the VAR and VAA.,NA
2178,ecv2020,2178,DEPLACEMENT LORS DE L'INONDATION,MOVEMENT DURING THE FLOOD,NA
2179,ecv2021,2179,MANQUE DE VACCIN,LACK OF VACCINE,NA
2180,ecv2020,2180,ACCOUCHEMENT A LA MAISON. LES VACCINATEURS VIENNENT SOUVENT QUAND SUIS AU CHAMPS A MON ABSENCE,HOME BIRTH. THE VACCINATORS OFTEN COME WHEN I AM IN THE FIELDS DURING MY ABSENCE,NA
2181,ecv2020,2181,NE MA�TRISE PAS LE CALENDRIER VACCINAL,DOES NOT MASTER THE VACCINATION SCHEDULE,NA
2182,ecv2020,2182,PAS D OBSTACLE,NO OBSTACLE,NA
2183,ecv2021,2183,ROTA 3 N'EST PAS CONNU,ROTA 3 IS NOT KNOWN,NA
2184,ecv2022,2184,OUBLIE CARTE DE VACCINATION A LA MAISON LORS DE VACCINATION SELON SA MAMAN MAIS ENFANT A RECU TOUS LES VACCINS,FORGOT VACCINATION CARD AT HOME AT THE TIME OF VACCINATION ACCORDING TO HIS MOTHER BUT CHILD RECEIVED ALL VACCINES.,NA
2185,ecv2020,2185,LES D�PLACEMENT DE PARENTS,PARENTS' MOVEMENTS,NA
2186,ecv2020,2186,"LE VACCIN EST EMPOISONN� ET QUANDON DONNE �A � L'ENFANT, IL VA COMMENCER � TOMBER R�GULI�REMENT MALADE","THE VACCINE IS POISONED AND WHEN IT IS GIVEN TO THE CHILD, HE WILL START TO FALL SICK REGULARLY",NA
2187,ecv2020,2187,AVOIR ACCOMPAGN� MON MARI AUX SOINS TRADI LOIN D'ICI,ACCOMPANIED MY HUSBAND TO TRADITIONAL CARE FAR AWAY FROM HERE,NA
2188,ecv2022,2188,LE DEPLACEMENT DU A LA GUERRE DES ADF,DISPLACEMENT DUE TO THE ADF WAR,NA
2189,ecv2021,2189,Je ne sais pas,I don't know,NA
2190,ecv2021,2190,TIRAILLEMENTS DE LA MERE ET PERSONNEL DE SANTE,TENSIONS BETWEEN THE MOTHER AND HEALTHCARE STAFF,NA
2191,ecv2020,2191,NOUS SOMMES SOUVENT A LA CAMPAGNE,WE OFTEN ARE IN THE COUNTRYSIDE,NA
2192,ecv2020,2192,Enfant  inf�rieur a 9 mois,Child under 9 months,NA
2193,ecv2021,2193,J AVAIS PAS DE CARTE ON MA COMPLIQUE JE LAISSE TOMBE,"I DIDN'T HAVE A CARD, THEY MADE IT COMPLICATED, I'M GIVING UP.",NA
2194,ecv2020,2194,D�PLACEMENT ET MOINS DE 9 MOIS,TRAVEL AND LESS THAN 9 MONTHS,NA
2195,ecv2020,2195,LA MAMAN TOUJOUR AU TRAVAIL,THE MOM ALWAYS AT WORK,NA
2196,ecv2020,2196,LA DATE DE RENDEZ-VOUS. N'EST PAS ENCORE PR�TE,THE APPOINTMENT DATE IS NOT READY YET,NA
2197,ecv2022,2197,D'EMPLACEMENT  CONTUNUE DES PARENTS,CONTINUOUS SUPPORT FROM PARENTS,NA
2198,ecv2020,2198,Depuis l'av�nement de covid-19 la structure n'a pas encore organis� les s�ances de vaccination,"Since the advent of COVID-19, the organization has not yet held vaccination sessions.",NA
2199,ecv2020,2199,ENFANT A MOINS DE 9 MOIS,Child under 9 months,NA
2200,ecv2020,2200,"Il reste de 9 mois,les autres cas j'oubliais la fiche pour qu on mentionne","There are 9 months left, in the other cases I was forgetting the form to be mentioned.",NA
2201,ecv2020,2201,AUSSI L'AGE DE L'ENFANT,ALSO THE CHILD'S AGE,NA
2202,ecv2020,2202,Je ne veux pas les vaccins injectables a mes enfants,I do not want injectable vaccines for my children.,NA
2203,ecv2020,2203,REFUS DELA GRAND MERE,REFUSAL OF THE GRANDMOTHER,NA
2204,ecv2021,2204,DEMENAGEMENT DE MBENE A ISIRO,MOVING FROM MBENE TO ISIRO,NA
2205,ecv2022,2205,DEPLACEMENTDELAMERE VERS LA CAMPAGNE,MOTHER'S TRIP TO THE COUNTRYSIDE,NA
2206,ecv2022,2206,NEGLIGENCES  DE LA MERE,NEGLIGENCE OF THE MOTHER,NA
2207,ecv2022,2207,PAS MOI QUI DÉCIDE,NOT ME WHO DECIDES,NA
2208,ecv2020,2208,La m�re absente,The absent mother,NA
2209,ecv2021,2209,ENFANT  VACCINE  MAIS  LA  CARTE  NON  REMPLIE,CHILD VACCINATED BUT THE CARD NOT FILLED OUT,NA
2210,ecv2020,2210,INDISPONIBILIT� DELA. MERE,UNAVAILABILITY OF THE MOTHER,NA
2211,ecv2020,2211,D�placement dans des fermes,Travel to farms,NA
2212,ecv2021,2212,VOYAGE AU CABINDA,TRIP TO CABINDA,NA
2213,ecv2020,2213,VACCINATION EN COURS,VACCINATION IN PROGRESS,NA
2214,ecv2021,2214,LE VACCIN DONNE LA MALADIE A NOS ENFANTS,THE VACCINE GIVES THE DISEASE TO OUR CHILDREN,NA
2215,ecv2021,2215,La mère déclare que l'enfant a reçu tous les vaccins,The mother states that the child has received all the vaccines.,NA
2216,ecv2020,2216,ELYKIA A ENCORE 6MOIS,ELYKIA HAS 6 MONTHS LEFT,NA
2217,ecv2020,2217,Rien,Nothing,NA
2218,ecv2022,2218,NOUS SEMMES ALLE DANS LES CAMPAMENTS POUR LES TRAVAUX CHAMPETRE ET N'AVONS PAS VU LES VACCINATEURS.,WE WENT TO THE CAMPS FOR FIELD WORK AND DID NOT SEE THE VACCINATORS.,NA
2219,ecv2020,2219,IL FAUT 10 ENFANTS POUR VACCINES,IT TAKES 10 CHILDREN TO VACCINATE,NA
2220,ecv2020,2220,RESTE LES VACCINS DE 9 MOIS,REMAINING THE 9-MONTH VACCINATIONS,NA
2221,ecv2020,2221,"LE VACCIN ENTRA�NE LA MALADIE, N�GLIGENCE","THE VACCINE CAUSES DISEASE, NEGLIGENCE",NA
2222,ecv2020,2222,L' enfent a re�u mais Date male �crit,The child received but date poorly written,NA
2223,ecv2021,2223,FUITE DE LA GUERRE DE KOMANDA,ESCAPE FROM THE KOMANDA WAR,NA
2224,ecv2020,2224,MALADIE MERE,Mother Disease,NA
2225,ecv2020,2225,Je n'aime pas les injections,I don't like injections.,NA
2226,ecv2020,2226,OUBLIE DE RENTRER AU RENDEZ-VOUS,FORGOT TO RETURN TO THE APPOINTMENT,NA
2227,ecv2022,2227,LA MERE NE SAIT PAS EXPLIQUER,THE MOTHER DOES NOT KNOW HOW TO EXPLAIN,NA
2228,ecv2020,2228,D'autres antigenes ont �t� donn�s sans que les agents charg�s de ces activit�s ne mentionnent pas correctement,Other antigens were provided without the agents responsible for these activities mentioning them correctly.,NA
2229,ecv2020,2229,VOYAGE MULTIPLE DE LA MAMAN ET L'ENFANT,MULTIPLE TRIPS OF MOTHER AND CHILD,NA
2230,ecv2022,2230,FICHE MAL COMPLETEE MAIS ENFANT COMPLETEMENT VACCINE,FORM IMPROPERLY FILLED BUT CHILD FULLY VACCINATED,NA
2231,ecv2020,2231,DEPLACEMENT POUR RAISON DE SURVIE,Travel for survival reasons,NA
2232,ecv2020,2232,ILS NE NOUS EMM�NE PLUS LES VACCIN ICI,THEY NO LONGER BRING US THE VACCINE HERE,NA
2233,ecv2020,2233,DEPLACEMENT DE LA MERE EN FORET SOUVENT,MOTHER'S FREQUENT TRIPS TO THE FOREST,NA
2234,ecv2021,2234,NÉGLIGENCE ET OUBLIE,Negligence and Forgetting,NA
2235,ecv2022,2235,LA MERE PARTAIT AVEC L'ENFANT POUR LES TRAVAUX CHAMPETRES PENDANT PLUSIEURS MOIS,THE MOTHER LEFT WITH THE CHILD FOR FIELDWORK FOR SEVERAL MONTHS,NA
2236,ecv2020,2236,"Fifi n,a pas encore atteint 9mois pour le VAR et VAA",Fifi has not yet reached 9 months for VAR and VAA.,NA
2237,ecv2021,2237,ELLE NE CONNAÎT PAS.,SHE DOES NOT KNOW.,NA
2238,ecv2022,2238,DIVORCE,Divorce,NA
2239,ecv2020,2239,nombre des enfants non atteint pour le flacon VAR,number of children not reached for the VAR vial,NA
2240,ecv2021,2240,RENDEZ-VOUS NON COMMUNIQUÉ,NON-COMMUNICATED APPOINTMENT,NA
2241,ecv2020,2241,La m�re pas disponible occup� au champ,"The mother is not available, busy in the field.",NA
2242,ecv2020,2242,MON ENFANT A RECU TOUS LES VACCINS JATTEND LE PROCHAIN VACCIN,MY CHILD HAS RECEIVED ALL THE VACCINES I AM WAITING FOR THE NEXT VACCINE,NA
2243,ecv2021,2243,INTRODUCTION DE ROTA 3,INTRODUCTION OF ROTA 3,NA
2244,ecv2020,2244,MANQUE DE TEMPS SUITE � BEAUCOUP DE VOYAGES DE COMMERCE,LACK OF TIME DUE TO MANY BUSINESS TRIPS,NA
2245,ecv2021,2245,L'INSECURITE,Insecurity,NA
2246,ecv2022,2246,DEPLACEMENT A CAUSE DE LA GUERRE,DISPLACEMENT DUE TO THE WAR,NA
2247,ecv2021,2247,PRISE EN CHARGE DES EFFETS SECONDAIRES,Management of Side Effects,NA
2248,ecv2022,2248,A CAUSE DE VOYAGE DE SA MERE,DUE TO HIS MOTHER'S TRIP,NA
2249,ecv2020,2249,La maman avait voyag�  apr�s que l'enfant ait �t� vaccin�e 3 fois,The mother had traveled after the child had been vaccinated 3 times.,NA
2250,ecv2022,2250,LE NOMBRE D ENFANT N ETAIT PAS ATTEINT,THE NUMBER OF CHILDREN WAS NOT REACHED,NA
2251,ecv2020,2251,"DEPUIS LA PANDEMIE � CORONA VIRUS, L' ENFANT N'A PLUS RECU LE VACCIN","SINCE THE COVID-19 PANDEMIC, THE CHILD HAS NOT RECEIVED THE VACCINE.",NA
2252,ecv2021,2252,TOUTE LA FAMILLE ETAIT DANS LE CAMPEMENT,THE WHOLE FAMILY WAS IN THE CAMP.,NA
2253,ecv2021,2253,ATTEND LE VACCIN  DE 9 MOIS,WAITING FOR THE 9-MONTH VACCINE,NA
2254,ecv2020,2254,OUBLIE SOUVENT LA DATE DU RENDEZ- VOUS,OFTEN FORGETS THE APPOINTMENT DATE,NA
2255,ecv2020,2255,OUBLI DE LA DATE DU RENDEZ VOUS,FORGETTING THE APPOINTMENT DATE,NA
2256,ecv2020,2256,ELLE A 7,SHE IS 7,NA
2257,ecv2021,2257,A CAUSE DE LA MORT DE SON PÈRE,BECAUSE OF HIS FATHER'S DEATH,NA
2258,ecv2021,2258,VOYAGE DE TOMBERE Â BANDUNDU VILLE,TRIP FROM TOMBERE TO BANDUNDU CITY,NA
2259,ecv2022,2259,VOYAGE DE LA MERE ET SON ENFANT,JOURNEY OF THE MOTHER AND HER CHILD,NA
2260,ecv2021,2260,HABITE LA FORET,LIVES IN THE FOREST,NA
2261,ecv2022,2261,ON AVAIT FAIT UN DÉPLACEMENT,WE HAD MADE A TRIP,NA
2262,ecv2020,2262,NOUS CULTIVONS LOIN DU CENTRE,WE CULTIVATE FAR FROM THE CENTER,NA
2263,ecv2021,2263,LE CENTRE AVAIT FERMÉ,THE CENTER HAD CLOSED,NA
2264,ecv2021,2264,DÉPLACEMENT DE LA MÈRE AVEC L'ENFANT DANS UN AUTRE VILLAGE,Move of the mother with the child to another village,NA
2265,ecv2020,2265,L ENFANT N A PAS ENCORE FINI SON CALENDRIER VACCNAL,THE CHILD HAS NOT YET COMPLETED THEIR VACCINE SCHEDULE,NA
2266,ecv2020,2266,CALENDRIER VACCINAL N'EST PAS FINI,VACCINATION SCHEDULE IS NOT FINISHED,NA
2267,ecv2020,2267,A RE�U TOUT LES VACCIN MAIS IL N'A LA FICHE,HAS RECEIVED ALL VACCINES BUT DOES NOT HAVE THE RECORD,NA
2268,ecv2020,2268,EN VOYAGA A MBUJI MAYI,IN VOYAGE TO MBUJI MAYI,NA
2269,ecv2020,2269,Enfant en cours de vaccination (8 mois),Child undergoing vaccination (8 months old),NA
2270,ecv2021,2270,PAS DE RAPPELE SURLES DOSES,NO REMINDER ABOUT THE DOSES,NA
2271,ecv2022,2271,OUBLI DE LA MAMAN,FORGOTTEN BY THE MOTHER,NA
2272,ecv2020,2272,PARESSEUSE,Lazy,NA
2273,ecv2020,2273,Sa maman neglige.,His mom neglects him.,NA
2274,ecv2022,2274,VILLAGE RIVERAIN NON ACCESSIBLE A LA VACCINATION DE ROUTINE SUITE A LA GRANDE DISTANCE QUI LE SEPARE DE CS,RIVERFRONT VILLAGE NOT ACCESSIBLE FOR ROUTINE VACCINATION DUE TO THE GREAT DISTANCE SEPARATING IT FROM THE HEALTH CENTER,NA
2275,ecv2020,2275,N�gligence de la M�re et aussi inf�rieur � 9mois,Negligence of the Mother and also under 9 months,NA
2276,ecv2021,2276,VENGEANCE,Vengeance,NA
2277,ecv2022,2277,VOYAGE  DE LA FAMILLE,FAMILY TRIP,NA
2278,ecv2020,2278,Pas encore 9mois,Not yet 9 months,NA
2279,ecv2020,2279,CALENDRIER VACCINAL EN COURS ET NEGLIGENCE DE LA MERE,CURRENT VACCINATION SCHEDULE AND MOTHER'S NEGLIGENCE,NA
2280,ecv2020,2280,ENFANT N'EST PAS ENCORE ATTEINT,CHILD NOT YET AFFECTED,NA
2281,ecv2021,2281,PAQ ENREGISTRÉ PAR LES PRESTATAIRES,PAQ RECORDED BY THE PROVIDERS,NA
2282,ecv2020,2282,MAMAN EST TOUT LE TEMPS EN D�PLACEMENT,MOM IS ALWAYS TRAVELING,NA
2283,ecv2022,2283,TRAVAIL AUX FERMES,FARM WORK,NA
2284,ecv2021,2284,J’AI TROUVÉ  LE CS FERMÉ A CAUSE DE LA GRÈVE,I FOUND THE CS CLOSED BECAUSE OF THE STRIKE,NA
2285,ecv2020,2285,La diarrh�e apr�s vaccinations,Diarrhea after vaccinations,NA
2286,ecv2020,2286,Je vie dans les campements agricoles,I live in agricultural camps.,NA
2287,ecv2020,2287,PARENT EN DEPLACEMENT,PARENT TRAVELING,NA
2288,ecv2021,2288,DEPLACE DE GUERRE,War displaced,NA
2289,ecv2020,2289,CRAINTE COVID,COVID FEAR,NA
2290,ecv2020,2290,JE N' AI JAMAIS ATTENDU UN COMMUNIQU�  ANNON�ANT  LA VACCINATION  DEPUIS  SA NAISSANCE,I HAVE NEVER WAITED FOR A STATEMENT ANNOUNCING VACCINATION SINCE ITS INCEPTION,NA
2291,ecv2020,2291,Nous fuyons parce que les enfants deviennent souvent malade apr�s injection des vaccins. Mais facilement on peut accepter les vaccins buvables.,We flee because the children often become sick after vaccine injections. But we can easily accept the oral vaccines.,NA
2292,ecv2020,2292,Papa n'aime les vaccins,Dad doesn't like vaccines,NA
2293,ecv2021,2293,POSTOLO,POSTOLO,NA
2294,ecv2020,2294,PAS DE VACCIN AU NIVEAU DE CENTRE DE SANTE,NO VACCINE AT THE HEALTH CENTER,NA
2295,ecv2021,2295,VACCINÉE MAIS PAS MENTIONNÉ,VACCINATED BUT NOT MENTIONED,NA
2296,ecv2021,2296,NEGLIGEANCE SEULEMENT,NEGLIGENCE ONLY,NA
2297,ecv2022,2297,LES VACCINS STERILISENT,VACCINES STERILIZE,NA
2298,ecv2020,2298,LE D�M�NAGEMENT,THE MOVE,NA
2299,ecv2020,2299,"MANQUE D,AUTRE VACCINS",LACK OF OTHER VACCINES,NA
2300,ecv2021,2300,N'A PAS ENCORE 9 MOIS,NOT YET 9 MONTHS OLD,NA
2301,ecv2020,2301,"D�M�NAGEMENT DE LA FAMILLE
FICHE PERDUE","FAMILY MOVING
LOST FORM",NA
2302,ecv2020,2302,La p�riode qu'il faut se donner au travail champs,The period one should dedicate to fieldwork,NA
2303,ecv2021,2303,MAMAN VOYAGE BEAUCOUP,MOM TRAVELS A LOT,NA
2304,ecv2020,2304,DEPLACEMENT POUR L.INODATIO,MOVEMENT FOR FLOOD,NA
2305,ecv2022,2305,CONFLIT ENTRE LA COMMUNAUTE ET LES PRESTATAIRES,CONFLICT BETWEEN THE COMMUNITY AND THE SERVICE PROVIDERS,NA
2306,ecv2020,2306,�ge non atteint pour cet enfant,Age not reached for this child,NA
2307,ecv2022,2307,LES VACCINATEURS VIENNENT RARE DANS NOTRE VILLAGE,The vaccinators seldom come to our village.,NA
2308,ecv2021,2308,IGNORANCE  DE LA MERE GARDIENNE,IGNORANCE OF THE MOTHER GUARDIAN,NA
2309,ecv2022,2309,MA PROPRE NEGLIGENCE,MY OWN NEGLIGENCE,NA
2310,ecv2021,2310,INTERDIT FAMILIALE,FAMILY FORBIDDEN,NA
2311,ecv2021,2311,DEPLACEMENT POUR LE CHAMPS,TRAVEL TO THE FIELD,NA
2312,ecv2020,2312,LE VACCIN CAUSE DE MALADIES ET CONDUIT A L ANEMIE,THE VACCINE CAUSES DISEASES AND LEADS TO ANEMIA,NA
2313,ecv2020,2313,ENFANT EN COURS DE VACCINATION,CHILD IN THE PROCESS OF VACCINATION,NA
2314,ecv2020,2314,MANQUE DES MOYENS FINANCIERS,LACK OF FINANCIAL RESOURCES,NA
2315,ecv2020,2315,ENFANT MALADE DEPUIS SA NAISSANCE ET LE PAPA CRAINT L'AGGRAVATION DE SA MALADIE AVEC LA VACCINATION,CHILD SICK SINCE BIRTH AND THE FATHER FEARS THE WORSENING OF THE ILLNESS WITH VACCINATION,NA
2316,ecv2020,2316,DEPLACEMENT DE LA MERE POUR MALADIE,Mother's Travel Due to Illness,NA
2317,ecv2020,2317,D'AUTRE VACCIN NON DISPONIBLE.,OTHER VACCINE NOT AVAILABLE.,NA
2318,ecv2020,2318,Il A 6 MOIS,6 months ago,NA
2319,ecv2020,2319,D�placement de l'a m�re,Motherboard movement,NA
2320,ecv2020,2320,Crainte du covid,Fear of COVID,NA
2321,ecv2021,2321,"REFUS DE DONNER LE VACCIN CAR ÂPRES  CHAQUE VACCINATION, L'ENFANT  FAIT DE LA FIÈVRE","REFUSAL TO ADMINISTER THE VACCINE BECAUSE AFTER EACH VACCINATION, THE CHILD DEVELOPS A FEVER",NA
2322,ecv2020,2322,�quipe des vaccinateurs n'est pas venu au village,The vaccination team did not come to the village.,NA
2323,ecv2020,2323,Voyage de la m�re avec l'enfant,Journey of the Mother with the Child,NA
2324,ecv2020,2324,PAS D'INFORMATION SUR LA CONTINUTE DE VACCIN DE ROUTUNE,NO INFORMATION ON THE CONTINUATION OF ROUTINE VACCINATIONS,NA
2325,ecv2021,2325,MON ENFANT AVAIT RECU TOUT LE VACCIN C EST L INFIRMIER  QUI N A PAS MENTIONNE SUR LA FICHE,MY CHILD HAD RECEIVED ALL THE VACCINES. IT WAS THE NURSE WHO DID NOT NOTE IT ON THE RECORD.,NA
2326,ecv2021,2326,FORMATION SANITAIRE FERMÉE,Closed health facility,NA
2327,ecv2020,2327,L'oublie chez m�re,Forgetting at mother's place.,NA
2328,ecv2021,2328,ON A FERMÉ LES STRUCTURES SANITAIRES,WE CLOSED THE HEALTHCARE FACILITIES,NA
2329,ecv2020,2329,L ' ENFANT N' A PAS ENCORE ATTEINT 9 MOIS,THE CHILD HAS NOT YET REACHED 9 MONTHS,NA
2330,ecv2020,2330,Nous fuyons souvent les vaccins injectables suite � des fi�vres et autres maladies qu'il pr�sente.,We often avoid injectable vaccines due to the fevers and other illnesses they cause.,NA
2331,ecv2021,2331,EXODE RURALE,Rural Exodus,NA
2332,ecv2021,2332,RECU TOUS LES VACCINS MAIS PAS MENTIONNES  DANS LE CARNET,RECEIVED ALL THE VACCINES BUT NOT MENTIONED IN THE RECORD,NA
2333,ecv2022,2333,LA PARAISSE SEULEMENT,ONLY LAZINESS,NA
2334,ecv2021,2334,MAUVAISE ORGANISATION DES PRESTATAIRES,POOR ORGANIZATION OF SERVICE PROVIDERS,NA
2335,ecv2022,2335,TOUT LE MENAGE EN DÉPLACEMENT,THE WHOLE HOUSEHOLD ON THE MOVE,NA
2336,ecv2022,2336,IL AVAIT OUBLIE,HE HAD FORGOTTEN,NA
2337,ecv2020,2337,L'enfant a 6 mois,The child is 6 months old.,NA
2338,ecv2020,2338,DEPLACE DE GUERRE,War Displacement,NA
2339,ecv2020,2339,CRAINTE DE VACCIN COVID-19,FEAR OF COVID-19 VACCINE,NA
2340,ecv2021,2340,Centre n'a pas mentionner la date,Center did not mention the date.,NA
2341,ecv2020,2341,P�RE REFUSE PARCEQU' IL AVAIT PERDUS L' AUTRE ENFANT  2 JOURS APRES LA VACCINATION,FATHER REFUSES BECAUSE HE LOST THE OTHER CHILD 2 DAYS AFTER THE VACCINATION,NA
2342,ecv2021,2342,BEAUCOUP DE DÉMÉNAGEMENTS,MANY MOVES,NA
2343,ecv2020,2343,Mutations,Mutations,NA
2344,ecv2021,2344,IGNORANCE DE LA VACCINATION,IGNORANCE OF VACCINATION,NA
2345,ecv2020,2345,INTERDICTION DE FAIRE VACCINER L ENFANT SELON UNE DIRECTIVE DIVINE  DU GROUPE DE CHARISME,PROHIBITION OF VACCINATING THE CHILD ACCORDING TO A DIVINE DIRECTIVE FROM THE CHARISME GROUP,NA
2346,ecv2020,2346,N'A PAS ENCORE REALISE 9 MOIS,"""Has not yet reached 9 months""",NA
2347,ecv2021,2347,NOUS ÉTIONS À LA PLANTATION,WE WERE AT THE PLANTATION,NA
2348,ecv2020,2348,A 9 mois,9 months ago,NA
2349,ecv2020,2349,Manque de moyen et une instabilit� lieu au d�m�nagement,Lack of resources and instability due to relocation,NA
2350,ecv2021,2350,INSECURITE,Insecurity,NA
2351,ecv2021,2351,PAS  DE VPO A LA NAISSANCE,NO VPO AT BIRTH,NA
2352,ecv2022,2352,MERE GARDIENNE INFIME,MERE GARDIENNE INFIME,NA
2353,ecv2021,2353,RAS,N/A,NA
2354,ecv2021,2354,PENSAIT A 9 MOIS L'ENFANT NE PREND PLUS LE VACCIN,THOUGHT AT 9 MONTHS THE CHILD NO LONGER TAKES THE VACCINE,NA
2355,ecv2020,2355,"A cause de la COVID19, j'ai refus� d'amener mon enfant � la vaccination","Because of COVID-19, I refused to take my child to the vaccination.",NA
