survey,random_order,reason,translation,roy_categorized
ecv2020,1263,LE VACCIN CONTRE LES DIARRH�ES N'ETAIT PAS L�,,
ecv2020,1264,REFUS,,
ecv2021,1265,PERMUTATION DE MON MARI,,
ecv2022,1266,DEPASSEMENT DE MOIS DE VACCIN CONCERNE,,
ecv2021,1267,LE CONFLIT ENTRE  LES 2 GROUPEMENTS ON AVAIT AMENE EN BROUSSE,,
ecv2020,1268,PAS DE MOYENS FINANCIERS,,
ecv2022,1269,MERE AU CHAMPS,,
ecv2021,1270,REFUS DE VACCIN,,
ecv2021,1271,PAS DE RAPPELE DE RDV,,
ecv2020,1272,EN ATTENTE DE RENDEZ VOUS,,
ecv2022,1273,PAR AU CHAMPS,,
ecv2020,1274,L'enfant n'a pas encore 9mois,,
ecv2020,1275,ROTA NON ENCORE INTRODUIT,,
ecv2020,1276,"N�GLIGENCE DE LA MAMAN, RUPTURE DU VACCIN",,
ecv2022,1277,MERE FATIGUEE,,
ecv2020,1278,La m�re de l'enfant av� voillag�,,
ecv2020,1279,Manques de moyen,,
ecv2020,1280,L'enfant n'a pas atteint 9mois,,
ecv2021,1281,Nous étions en déplacement vers Djamba voilà pourquoi il n’a continué avec le reste de vaccin,,
ecv2022,1282,"RUPTURE EN ANTIGENES  BCG,ROTA,VAA ET VAR",,
ecv2022,1283,NEGLIGENCE ET DEPLACEMENT DE LA  MERE,,
ecv2020,1284,L' ENFANT N'A PAS ENCORE TOTALIS� 9MOIS,,
ecv2021,1285,LES RUMEURS SUR LE VACCIN COVID 19,,
ecv2020,1286,L'�ge de l'enfant inf�rieur � neuf mois,,
ecv2021,1287,ABSENT PENDANT LA PERIODE,,
ecv2021,1288,MANQUE D'INFORMATION DE LA MÈRE SUR VACCINATION DE ROUTINE OU CPS,,
ecv2020,1289,L'enfant �tait n� au campement il n'avait pas de vaccin l� o� on �tait,,
ecv2020,1290,J AVAIS OUBLIE SUITE A MA NEGLIGENGE,,
ecv2020,1291,Ils �taient a la mine,,
ecv2022,1292,L'enfant as recu tous les va cins selon sa mere mais n'est pas affiche sur la fiche,,
ecv2022,1293,VACCIN EN COURS,,
ecv2020,1294,REND SES ENFANTS MALADES,,
ecv2021,1295,PERTUBARTION DE GEURRE ET CA FAIT QUE MON ENFANT N A PAS TERMINE LE VACCIN,,
ecv2020,1296,"MANQUE DE TEMPS, NEGLIGENCE DE LA M�RE",,
ecv2020,1297,TOUTE LA FAMILLE �TAIT AU CHAMPS JUSTE APR�S LA NAISSANCE DE L'ENFANT,,
ecv2021,1298,NOTRE DÉPLACEMENT À YUMBI,,
ecv2020,1299,La famille avait voyag�,,
ecv2020,1300,Attend l'�ge de 9 mois pour injection VAR et VAA,,
ecv2020,1301,HABITE CAMPEMENT ACCESSIBILITE DIFFICILE,,
ecv2021,1302,CENTRE DE SANTE FERMÉ,,
ecv2021,1303,Absence de sa mere pour la precision,,
ecv2020,1304,Deplacedmement de la m�re,,
ecv2022,1305,DÉPLACEMENT MBUJI MAYI DITU,,
ecv2020,1306,"ROTA 3 NON DISPONIBLE, N'A PAS ENCORE ATTEINT L'AGE POUR LE VACCIN DE 9MOIS",,
ecv2020,1307,ON NATTEND QUE 9 MOIS POUR AVOIR LE PROCHAIN VACCIN,,
ecv2020,1308,LE VACCI' TRANSMET LE CORONA ET D'AUTRES MALADIES,,
ecv2020,1309,Deplacement  intempestif de la m�re avec son enfant,,
ecv2022,1310,VACCINEE MAIS PAS DE CARTE,,
ecv2021,1311,PAS DE SÉANCES DE VACCINATION ORGANISÉES RÉGULIÈREMENT DANS LE VILLAGE,,
ecv2020,1312,ELLE S'ACCOUCHE A LA MAISON,,
ecv2020,1313,LA N�GLIGENCE DE LA MAMAN,,
ecv2021,1314,INFIRMIER EN GRÈVE ET AUSSI PEUR DE COVID19,,
ecv2020,1315,CALENDRIER VACCINAL DE L'ENFANT EST EN COURS,,
ecv2020,1316,RESTE SEULEMENT LES VACCINS DE 9MOIS MAIS L'ENFANT ENCORE 7MOIS,,
ecv2022,1317,L'ENFANT DEJA VACCINE DECLARE SA MERE,,
ecv2020,1318,A moins de 9 mois,,
ecv2020,1319,Non permanence de la m�re,,
ecv2020,1320,IL A QUE 6 MOIS,,
ecv2021,1321,COUT ELEVE DE LA PRISE EN CHARGE DES EFFETS SECONDARIES DE VACCIN,,
ecv2020,1322,"Elle a 7mois ,son calendrier est en cours.",,
ecv2020,1323,ABSCENTE CAUSE VOYAGE,,
ecv2020,1324,Si je suis occup�e et que je n'ai pas eu le temps.,,
ecv2020,1325,A BIENT�T,,
ecv2021,1326,NE SAIS PAS POURQUOI MAIS ON LUI A REMIS MÊME UNE MILD DISANT QU’IL A TERMINÉ,,
ecv2020,1327,MAMAN EN DEPLACEMENT,,
ecv2021,1328,VPO NON DONNE A LA NAISSANCE,,
ecv2022,1329,CALENDRIER VACCINAL EN COURS,,
ecv2020,1330,PAS ENCORE ATTEINT L AGE DE 9 MOIS,,
ecv2020,1331,MERE EN DEPLACEMENT AVEC ENFANT,,
ecv2022,1332,MOUVEMENT  DE DEPLACEMENT  SUITE A LA GUERRE,,
ecv2020,1333,MANQUE DU TEMPS,,
ecv2020,1334,Na pas encor terminer ses vaccin,,
ecv2020,1335,Enfant n� en Angola,,
ecv2021,1336,VOYAGE MULTIPLE,,
ecv2020,1337,En plus l'enfant a 8 mois ses vaccins sont en cours.,,
ecv2021,1338,LA MÈRE  À CHANGÉ LE MILIEU,,
ecv2020,1339,La maman etait partie en vacances,,
ecv2021,1340,INSTABILITE GENERALISÉE DU MILIEU,,
ecv2020,1341,ATTEND LA DATE DE SON RENDEZ VOUS PREVUE DANS  5 JOURS,,
ecv2020,1342,RUMEURS SUR COVID 19,,
ecv2022,1343,TOUTE LA FAMILLE ETAIT DANS DES CAMPEMENT,,
ecv2020,1344,ROTAVIRUS N'ETAIT PAS PROGRAMME SUR LA CARTE DE L' ENFANT.,,
ecv2020,1345,En deplacement,,
ecv2020,1346,"IGNORANCE DE LA M�RE SUR LE CALENDRIER VACCINAL.
LA M�RE DIT QUE COMME LA GROSSESSE N'ETAIT PAS ARRIV�E A TERME, ELLE DEVAIT SUIVRE LE CALENDRIER EN TENANT COMPTE DE CELA. 
ELLE A DONNE NAISSANCE A 7 MOIS ET A COMMENC� A SUIVRE LES VACCINS LORS",,
ecv2020,1347,"OUBLI,NEGLIGENCE",,
ecv2022,1348,LANEGLIGEANCE,,
ecv2020,1349,ANGEL A PRIS TOUS LES VACINS,,
ecv2020,1350,MANQUE D'INTERET,,
ecv2020,1351,D�placements,,
ecv2020,1352,"Quand l'enfant tombe malade apr�s avoir re�u le vaccin, une fois amen� au centre, s'il n'y a pas d'argent, on ne soigne pas",,
ecv2022,1353,LDS PARENTS CRAIGNENT LA FIEVRE QUE LES ENFANTS FONT APRES L'INJECTION DU VACCIN,,
ecv2020,1354,HABITE LE CAMPEMENT EN RAISON DE PECHE,,
ecv2022,1355,LA MERE ETAIT AU CHAMPS LORS DE LA VACCINATION DES ENFANTS,,
ecv2020,1356,TROP OCCUPE AU CHAMPS,,
ecv2022,1357,NOUS ETIONS EN VOYAGE,,
ecv2020,1358,REFUS � CAUSE DE COVID,,
ecv2020,1359,N'a pas encore re�u le dernier vaccin,,
ecv2020,1360,BCG ET VPOB0 DEJA RECUS DEPUIS LUBUMBASHI MAIS NON SIGNALE,,
ecv2020,1361,N�gligence  des parents,,
ecv2020,1362,DEPLACEMENT INTEMPESTIVE DE SA MERE,,
ecv2020,1363,MANGUE DE L ARGENT,,
ecv2020,1364,Fatigue,,
ecv2020,1365,L'enfant n'a pas encore atteint le dernier mois pour la vaccination.,,
ecv2020,1366,apr�s l accouchements je me sui d�placer la ou je qui partie c �tait en brousse ou je ne prouver pas prendre all� vaccin� mon enfant,,
ecv2022,1367,REFUGIE,,
ecv2020,1368,Surtout quand je suis au champ.,,
ecv2020,1369,Rumeurs DZ covid-19,,
ecv2020,1370,"JE N' AI PAS LE TEMPS, JE LE SENS FATIGUER D'AMENER L' ENFANT",,
ecv2020,1371,EFFECTIF DE 16 ENFANTS A VACCINER DEJA ATTEINT,,
ecv2020,1372,Enfant moins de 9 mois,,
ecv2022,1373,RUPTURE DE VAR ET VAA,,
ecv2022,1374,"GREVE DES INFIRMIERS, DEPLACEMENT DE L'ENFANT AVEC SA MERE",,
ecv2022,1375,VOYAGE,,
ecv2021,1376,OUBLIE AUSSI PAR NÉGLIGENCE,,
ecv2022,1377,DEPLACEMENT VERS LE CAMPEMENT,,
ecv2022,1378,ABSENCE POUR UNE LONGUE DUREE,,
ecv2020,1379,Enfant n'a pas encore atteint 9 mois.,,
ecv2020,1380,OUBLIE ET NEGLIGENCE DE LA MERE,,
ecv2020,1381,GRACIA N'EST PEUX PAS RECEVOIR LE VAA ET KE VAR VU SON AGE,,
ecv2021,1382,PEUR D'INJECTER MON ENFANT LE VACCINS COVID,,
ecv2022,1383,"LORS DE SEANCES DE VACCINATION, NOIS SOMMES SOUVENT DANS DES CAMPEMENTS",,
ecv2022,1384,NEE A DOMICILLE,,
ecv2020,1385,NAISSANCE A DOMICILE DANS UN VILLAGE LOINTAIN O� IL N 'AVAIT NI MATERNIT� NI CENTRE DE SANT�,,
ecv2020,1386,CV EN COURS,,
ecv2021,1387,IL SE POURAIS QUE L'ENFANT A TERMINER MAIS LA NOURICE INGORE ET PAS MATIONNER SUR LA FICHE,,
ecv2021,1388,CENTRE FERMÉ,,
ecv2020,1389,M�RE AVAIT VOYAG�,,
ecv2021,1390,INSÉCURITÉ AU VILLAGE.,,
ecv2020,1391,PAS D INFORMATION,,
ecv2022,1392,"MANQUE D,ARGENT",,
ecv2021,1393,A CAUSE  DE LA GRÈVE,,
ecv2020,1394,PAS PRESENT PENDANT LES SEANCES DE VACCINATION POUR RAISON DE SES ACTIVITES COMERCIALES,,
ecv2022,1395,NON RESPECT DU RENDE VOUS POUR LE BCG,,
ecv2022,1396,EN CONFLIT AVEC LE VACCINATEUR DE L'EPOQUE,,
ecv2020,1397,�TAIT  AU CHAMPS,,
ecv2022,1398,"Reste à la ferme , barrière naturel le",,
ecv2020,1399,"PAS DES VACCINS POUR LES ENFANTS, INACCESSIBILIT�",,
ecv2020,1400,La negligence de la mere,,
ecv2021,1401,"LA MAMAN DECLARE QUE L'ENFANT A RECU TOUS LE VACCIN, MAIS LA CARTE EST NON REMPLI PAR L'IT",,
ecv2020,1402,L'enfant n'a que 8 mois,,
ecv2020,1403,L'ENFANT AVAIT D�J� TERMINER SON AVANT L'ARRIV�E  DU ROTA,,
ecv2020,1404,N'AYANT PAS ENCORE ATTEINT L'�GE DE 9 MOIS,,
ecv2020,1405,Non permanence des parents,,
ecv2020,1406,ANGOISSE DUE AU DEUIL DE MON MARI,,
ecv2022,1407,DEPLACEMENT DE MERE DE L'ENFANT,,
ecv2020,1408,L'�ge ne pas r�volu,,
ecv2020,1409,Le vaccin Rotavirus a �t� introduit au mois de janvier 2020,,
ecv2020,1410,"C'est la mort de sa m�re d�s la naissance qui a fait que, l'enfant ne soit pas vaccin�s et y'a personne qui peut amen� l'enfant au centre.",,
ecv2020,1411,AGE DEL' ENFANT,,
ecv2020,1412,TOUT TERMINER MAIS LE VACCINATEUR NA PAS ECRIT,,
ecv2021,1413,DÉPLACEMENT DE LA MERE,,
ecv2021,1414,PAS DE RAPPEL DE LA DATE,,
ecv2021,1415,NON MENTION DE LA PRISE DE VACCIN DE L’ENFANT SUR LA FICHE,,
ecv2022,1416,La grève,,
ecv2020,1417,Sans raison effet elle pense � la paresse,,
ecv2022,1418,RUPTURE,,
ecv2020,1419,MERLINE n'a que 6 mois,,
ecv2020,1420,APRES VACCINATION IL YA LA FIEVRE,,
ecv2020,1421,"Attendre le VAA , VAR",,
ecv2020,1422,CRAINTE DU VACCIN COVID-19,,
ecv2020,1423,LA MAMAN A OUBLI�,,
ecv2020,1424,Maman non disponible,,
ecv2021,1425,A RECU TOUS LES VACCINS MAIS LA DATE N'EST PAS MENTIONEE.,,
ecv2020,1426,HABITANT FOR�T,,
ecv2020,1427,TROP MUTATION DES PARENTS,,
ecv2020,1428,5rLA MAMAN REFUSE D AMENER L ENFANT A LA VACCINATION C EST LA GRANDE SOEUR QUI EST LA MERE GARDIENNE,,
ecv2020,1429,D�placement li�e � l'ins�curit�,,
ecv2020,1430,LA MAMAN NA PAS CONFIANCE AU VACCIN,,
ecv2020,1431,Crainte de baisse du poids de son enfant,,
ecv2020,1432,La maman ne veut pas qu'on vaccine Mbilia belle,,
ecv2021,1433,AU CHAMP,,
ecv2021,1434,DÉPLACEMENT  DE LA FAMILLE,,
ecv2020,1435,D�placements de la m�re avec l'Enfant,,
ecv2020,1436,DEPLACEMENT DE LA PROVINCE POUR UN TEMPS,,
ecv2020,1437,EN VOYAGE. POUR LES SOINS APPROPRI� DE L ENFANT A MBUJI MAYI,,
ecv2021,1438,COVID 19 . REFUS  TOTAL AUPRÈS  DES MÈRES POUR LA VACCINATION  DE LEURS  ENFANTS,,
ecv2022,1439,LA PARESSE DE LA MERE DE L'ENFANT DUE À UNE LONGUE DISTANCE DU CS AINSI QUE LES DIFFERENTS DEPLACEMENTS DE LA MERE AVEC SON ENFANT POUR LES TRAVAUX CHAMPETRES,,
ecv2021,1440,J AVAIS MIT AU MONDE A LA MAISON,,
ecv2020,1441,A cause de negligeance,,
ecv2020,1442,AVAIT OUBLIE SA CARTE,,
ecv2021,1443,FAMILLE DÉPLACER,,
ecv2020,1444,OUBLIE LES JOURS DE RENDEZ VOUS,,
ecv2020,1445,L'enfant n'aas encore eu 9 mois pour recevoir le VAR et VAA,,
ecv2020,1446,INDINSPONIBILITE DE VACCIN,,
ecv2020,1447,N�gligence et paresse,,
ecv2020,1448,CALENDRIER DE VACCINATION EN COURS,,
ecv2021,1449,PEUR DU VACCIN CONTRE LE COVID-19,,
ecv2020,1450,"Quand j'ai quitt� mon foyer apr�s un conflit avec mon �poux, suis partie chez nous � LODJA",,
ecv2022,1451,GREVE AU CS,,
ecv2020,1452,MANQUE DE FICHE,,
ecv2021,1453,IN SECURITE,,
ecv2020,1454,N'a pas encore accompli  9 mois,,
ecv2021,1455,JE SUIS ENCORE NOUVELLEMENT ARRIVÉ  ICI,,
ecv2020,1456,PAS DE CONFIANCE AVEC LE VACCIN,,
ecv2020,1457,LA MERE �TAIT AU CHAMP LORS DU RENDEZ VOUS,,
ecv2020,1458,LA MERE HOPITALISER PENDANT LONGTEMPS,,
ecv2021,1459,NOMBRE D ENFANT  INSUFFISSANT,,
ecv2022,1460,MERE  EN DEPLACEMENT,,
ecv2022,1461,LA MERE GARDIENNE AVAIT VOYAGER,,
ecv2020,1462,"MANQUE DE TEMPS ,OUBLI ,N�GLIGENCE",,
ecv2022,1463,DÉPLACEMENT PAS VACCIN A L'ENDROIT LÀ,,
ecv2020,1464,PAR CE QUE ENFANT N'A PAS TOTALISE 9MOIS,,
ecv2020,1465,L'ENFANT NA PAS D�PASSER 9MOI,,
ecv2020,1466,D�PLACEMENT DE LA M�RE POUR LES TRAVAUX CHAMP�TRES,,
ecv2020,1467,Enfants pas encore 9mois,,
ecv2020,1468,LA MAMAN NE VEUX PAS DONNER LA RAISON,,
ecv2020,1469,AU PREMIER RENDEZ VOUS IL N Y AVAIT PAS DE VPOb 0,,
ecv2020,1470,TROP D OCCUPATION,,
ecv2022,1471,DÉPLACEMENT  DU MENAGE,,
ecv2020,1472,RELIGION,,
ecv2022,1473,CONVICTIONS RELIGIEUSES DE LA MAMAN,,
ecv2020,1474,N'A PAS ENCORE ATTEINT  L'�GE DE 9 MOIS,,
ecv2020,1475,D�PLACEMENT DE MERE,,
ecv2020,1476,"Les enfants tombent malades de rougeole apr�s qu'ils soient vaccines , raison pour laquelle nous refusons qu'ils soient vaccin�s",,
ecv2020,1477,La p�riode de la semence,,
ecv2021,1478,TOUT REUSSI SELON PAPA,,
ecv2020,1479,D�PLACEMENT DE LA FAMILLE VERS UNE AUTRE VILLE,,
ecv2021,1480,TOUTE LA FAMILLE ETAIT A LA CARRIERE MINIERE,,
ecv2020,1481,PEUR DE LA COVID,,
ecv2020,1482,Attend pour compl�ter VAA et VAR,,
ecv2021,1483,TROP DES DÉPLACEMENT,,
ecv2022,1484,DÉPLACEMENT SUITE A LA TUERIE,,
ecv2022,1485,N'A PAS SU,,
ecv2022,1486,LES DIFFERENTS DE L'ENFANT AVEC SA MERE,,
ecv2020,1487,MANQUE D'ARGENT POUR PAYER LA FICHE,,
ecv2020,1488,Mere en deplacement,,
ecv2020,1489,L'ENFANT A ENCORE DE 9 MOIS,,
ecv2022,1490,ON A PAS REMPLI LA FICHE,,
ecv2021,1491,ATTITUDE NÉGATIVE DU BEAU-PÈRE FACE À LA VACCINATION,,
ecv2020,1492,POUR SA TROISIEME DOSE C EST JUSTE LA NEGLIGENCE MAIS POUR LES VACCINS DE 9MOIS C EST ENCORS EN COURS,,
ecv2022,1493,FUITE POUR CAUSE DES CONFLITS  TRIBALS,,
ecv2020,1494,Rupture de vpo 0,,
ecv2020,1495,La m�re f�ch� prcque on lui avait pas donn�e les plympit net,,
ecv2020,1496,EXHAUSSE NE PEUX PAS RECEVOIR LE VAA ET. VAR;VU SON  AGE,,
ecv2021,1497,DÉPLACEMENT DE LA MÈRE AVEC L'ENFANT DANS UN AUTRE VILLAGE POUR LA PÈCHE,,
ecv2020,1498,L'enfant est encore trop jeune,,
ecv2020,1499,ABSENCE,,
ecv2021,1500,EN VOYAGE,,
ecv2020,1501,N A PAS ATTEINT L' �GE,,
ecv2022,1502,L'ENFANT SE DEPLACES AVEC SA MERE PLUSIEURS FOIS  AU CHAMP ET CELA PENDANT BEAUCOUP DE MOIS,,
ecv2021,1503,DEPLACEMENT DES PARENTS,,
ecv2021,1504,DÉPLACEMENT ET NÉGLIGENCE,,
ecv2021,1505,PARTIE CALENDRIER VACCINAL PERDUE,,
ecv2020,1506,J ETAIS EN  DEPLACEMENT,,
ecv2021,1507,MON FILS AVAIT REÇU TOUS LES VACCINS,,
ecv2021,1508,SEUL ROTA N'EST PAS RECONNU,,
ecv2022,1509,NEGLIGENCE DE LA MAMAN PENDANT LE MOMENT DE LA VACCINATION,,
ecv2022,1510,NEGLIGENCE APRES AVOIR ETE LA TROIS FOIS POUR NE PAS RECEVOIR LE VACCIN,,
ecv2022,1511,VOYAGE POUR SHAMBUANDA,,
ecv2020,1512,DINA VA RECEVOIR LES VACCINS � LA PROCHAINE SEMAINE,,
ecv2020,1513,N'a pas encore atteint l'�ge,,
ecv2021,1514,DEUIL DANS LA,,
ecv2022,1515,DEPLACE DE GEURRE,,
ecv2021,1516,DEPLACEMENT DE LA  MERE,,
ecv2020,1517,Les  parents restent souvent au champs dans le campement,,
ecv2020,1518,VOYAGE FLUVIAL,,
ecv2021,1519,DÉPLACER DE LA GUERRE DE BAKUA CITONGU,,
ecv2021,1520,REFUS DU CENTRE DISANT QUE L ENFANT EST GRAND,,
ecv2020,1521,ON �TAIT EN D�PLACEMENT,,
ecv2020,1522,"PAS RE�U ROTA, VAT ET VAA",,
ecv2020,1523,MERE OCCUP�E PAR SES TRAVAUX,,
ecv2020,1524,A r�ussi pas de carte,,
ecv2021,1525,Toute la famille vit à la campagne,,
ecv2020,1526,VOYAGE AVEC L'ENFANT,,
ecv2021,1527,MAMAN DECLARE QUE SON ENFANT A RECU TOUS LES VACCINS,,
ecv2020,1528,S�ANCE DE VACCINATION REPORT�E,,
ecv2021,1529,APRES LE VACCIN ELLE PLEURE TROP ET UNE FORTE FIEVRE J AI PEUR,,
ecv2021,1530,LES TRAVAUX CHAMPETRES,,
ecv2020,1531,L'ENFANT N'A PAS ENCORE ATTEINT L'AGE DE 9 ANS,,
ecv2021,1532,MANQUE DE L ARGENT POUR DONNER,,
ecv2020,1533,ACCOUCHEMENT A LA MAISON LE MARI EN VOYAGE DONC PAR MANQUE D'ARGENT,,
ecv2020,1534,NEGLIGENCE DE PARENTS,,
ecv2020,1535,"L'oublie, et la N�gligence de la m�re.",,
ecv2022,1536,NÉGLIGENCE,,
ecv2022,1537,REFUS DE LA RELIGION DU MARI,,
ecv2021,1538,RUPTURE  DE  STOCK,,
ecv2022,1539,CHANGEMENT  DE MILIEU D'HABITATION  DE MONGA A BONDO,,
ecv2020,1540,OUGLIE ET N�GLIGENCE,,
ecv2022,1541,Pas vacciné,,
ecv2020,1542,PEUR QUE L ENFANT NE FASSE L ANEMIE APRES  VACCINATION,,
ecv2020,1543,L'ENFANT N'A PAS ENCORE TOTALISE 9 MOIS,,
ecv2022,1544,DEPLACEMENT DU MENAGE DE BASOSKO A L QUARANTE,,
ecv2020,1545,Les quelques vaccins que mon enfant est b�n�ficiaire sont pris en dehors de cette aire de sant� car il y a plus de six mois qu'il y a pas de vaccination.,,
ecv2020,1546,PAS DES S�ANCES DE VACCINATION,,
ecv2022,1547,OUBLIE DE LA MAMAN,,
ecv2020,1548,LE VACCIN TRANSMET LA COVID-19,,
ecv2020,1549,D�ficit de communication pour que l'enfant re�oive VPO 0,,
ecv2021,1550,PAS VPO A LA  NAISSANCE,,
ecv2020,1551,SOUVENT EN DEPLACEMENT POUR MON PETIT COMMERCE AVEC ENFANT,,
ecv2020,1552,P�s de sensibilisation,,
ecv2020,1553,ON A PAS MENTIONNE MAIS MON ENFANT A EU TOUS LES VACCINS IL NE RESTE QUE CELUI DE 9 MOIS,,
ecv2021,1554,ABSENCE D'INFORMATION SUR LA VACCINATION DE ROUTINE,,
ecv2021,1555,DOSE DE VACCIN,,
ecv2020,1556,Les vaccins sont interdit dans notre �glise de noire,,
ecv2020,1557,Ins�curit�,,
ecv2021,1558,GRÈVE DES AGENTS,,
ecv2020,1559,FI�VRES,,
ecv2021,1560,NOUS ETIONS EN DEPLACEMENT,,
ecv2020,1561,L enfant n a pas encore atteint d �ge de prendre d autres vaccins,,
ecv2020,1562,D�PLACEMENT DE LA M�RE,,
ecv2021,1563,NÉGLIGENCE,,
ecv2020,1564,LA MAMAN MANQUE LE TEMPS,,
ecv2020,1565,MANQUE DE LA DISPONIBILIT� DES CERTAINS VACCINS,,
ecv2020,1566,-9 MOIS,,
ecv2021,1567,CONFLIT INTER COMMUNAUTAIRE,,
ecv2022,1568,"PERTE DE CARTE DE VACCINATION 
DETTE DE FRAIS LIES A LA VACCINATION",,
ecv2020,1569,HABITANT AU FOR�T,,
ecv2021,1570,FINI LE VACCIN,,
ecv2020,1571,EN ATTENTE DE SON RENDEZ VOUS DE 9 MOIS,,
ecv2021,1572,NOMBRE DES ENFANTS,,
ecv2020,1573,LA DATE NE PAS ENCORE PROCHE,,
ecv2020,1574,L� je ne sais pas,,
ecv2020,1575,A r�ussi tout le vaccin mais pas de carte,,
ecv2022,1576,LA MERE RESTE SOUVENT AU CAMPEMENT A LA FORET AVEC L'ENFANT,,
ecv2021,1577,DEPLACEMENT DE LA MERE GARDIENNE POUR AIDEE SA TENTE QUI ETAIT MALADE,,
ecv2020,1578,L'enfant n'a pas encore eu 9 mois,,
ecv2020,1579,LA CARTE GARDER AU CENTRE,,
ecv2021,1580,NOMBRE S ENFANT NON ATTEINT,,
ecv2021,1581,RUPTURE EN BCG,,
ecv2020,1582,�ge inf�rieur � l'antig�ne,,
ecv2021,1583,VOYAGE POUR HABITER LA FERME,,
ecv2020,1584,N'A PAS ENCORE 9 MOIS,,
ecv2020,1585,La maman rentre avec l enfant tard et ne trouve pas le v accin,,
ecv2022,1586,DU AU DEPLACEMENT VERS UN AUTRES VILLAGE,,
ecv2020,1587,Crainte de la contamination EBOLA,,
ecv2020,1588,MALAISE DE LA GROSSESSE,,
ecv2021,1589,JAMAIS VACCINÉ,,
ecv2021,1590,NÉGLIGENCE DES PARENTS,,
ecv2021,1591,C' EST L'IT,,
ecv2022,1592,RAS,,
ecv2020,1593,"Je ne veux pas , car on vaccin� les enfants le vaccin d'ebola",,
ecv2021,1594,MÈRE MALADE,,
ecv2022,1595,Conflits coutumiers,,
ecv2022,1596,DEPLACEMMENTAUCHAMPS,,
ecv2020,1597,PERTE DE CARTE,,
ecv2020,1598,LE VACCINATEUR EST CHAQUE FOIS EN REUNION,,
ecv2020,1599,NEGLIGEANCE DE LA MERE,,
ecv2020,1600,D�FAUT DE COMMUNICATION PAR LE PERSONNEL DE SANT�,,
ecv2022,1601,SEANCES RARES,,
ecv2022,1602,MERE VIT A LA CAMPAGNE BEAUCOUP DE TEMPS,,
ecv2021,1603,DÉMÉNAGEMENT DE MENAGE,,
ecv2020,1604,LA MAMAN N'EST PAS TOUJOURS DISPONIBLE POUR ALLER A LA VACCINATION,,
ecv2020,1605,L'OUBLI DE LA MERE,,
ecv2020,1606,D�localisation du centre de sant�,,
ecv2020,1607,ENCOURSDEVACCINATION,,
ecv2021,1608,LA MERE ETAIT EN VOYAGE AVEC LES ENFANTS,,
ecv2020,1609,KOFFI n'a que 7 mois,,
ecv2020,1610,DEPLACEMENT DE LE MAMAN ET DE L ENFANT VERS UNE AUTRE PROVINCE,,
ecv2020,1611,Nous �tions all�s  � la ferme pour les travaux champetres,,
ecv2020,1612,L'ENFANT N'A PAS ENCORE FINI SON CALENDRIER VACCINAL,,
ecv2020,1613,MESSIE A RECU TOUT LES VACCINS,,
ecv2020,1614,TROISI�ME DOSE,,
ecv2021,1615,PEUT ÊTRE OUBLIE DE PERSONNEL DE SANTÉ,,
ecv2021,1616,FUITE DE GUERRE,,
ecv2022,1617,NOUS ETIONS DANS DES CAMPEMENTS LORS DE LA VACCINATION DES ENFANTS,,
ecv2020,1618,MAUVAISE ORGANISATION DE SERVICE DE VACCINATION.,,
ecv2020,1619,PERTE FICHE VACCINATION AVANT DEBUT,,
ecv2020,1620,RELIGION KITAWARA,,
ecv2020,1621,L ENFANT A MOINS DE 9 MOIS,,
ecv2020,1622,MERE MALADE PENDANT LONGTEMPS,,
ecv2020,1623,NOUS SOMMES SOUVENT AU CHAMP,,
ecv2022,1624,EN COURS,,
ecv2020,1625,Il a 8mois,,
ecv2021,1626,NE SAIT  PAS,,
ecv2020,1627,Absence de parents,,
ecv2022,1628,DEPLACEMENT DE L'ENFANT AVEC SA MERE DANS DES CARRIERES OU IL N'Y A PAS DES VACCINS,,
ecv2020,1629,Nourrisson hospitalis� et avait rate rota 3 et en plein en cours de son calendrier,,
ecv2020,1630,Le moyen de paiement de la fiche �tais compliqu� et aussi le d�placement de bena leka vers ditalala �a caus� de probl�me,,
ecv2020,1631,Absence de mobilisation sociale,,
ecv2020,1632,D�placement de la m�re dans les campements,,
ecv2021,1633,DÉPLACEMENT DANS LA FORÊT,,
ecv2020,1634,JE DOIT CHERCHER D'ABORD A MANGER POUR MA FAMILLE,,
ecv2020,1635,NOMBRE  DES ENFANTS INFERIEURES A  5,,
ecv2020,1636,Rota. Non disponible,,
ecv2020,1637,9 MOIS NON ATTEINT,,
ecv2021,1638,VOYA GE DE LA MERE,,
ecv2021,1639,MERE EN VOYAGE,,
ecv2021,1640,DÉPLACEMENTS,,
ecv2020,1641,A CAUSE DU DEPLACEMENT DE LA MERE,,
ecv2022,1642,DEPLACEMENT DES PARENT,,
ecv2020,1643,PAR N�GLIGENCE,,
ecv2022,1644,"DECES DE DEUX PARENTS DE L,ENFANT",,
ecv2021,1645,Grève des prestataires,,
ecv2020,1646,ATTENDS RENDEZ VOUS,,
ecv2020,1647,IL ATTEND SON RENDEZ-VOUS DE 9MOIS,,
ecv2020,1648,RUPTURE DE BCG,,
ecv2022,1649,PAS DE VACCIN PAR INJECTION,,
ecv2021,1650,"CS FERME,FIEVRE ET VOYAGE",,
ecv2020,1651,AU CHAMP,,
ecv2021,1652,GREVE DES  INFIRMIERS,,
ecv2020,1653,PARESSE DE LA MERE Y COMPRIS LE VOYAGE LORS DE RENDEZ-VOUS,,
